p1,p2
L001/MID1,L001/MID3
L001/MID1,L001/MID4
L001/MID1,L001/MID5
L001/MID1,L001/MID6
L001/MID2,L001/MID3
L001/MID2,L001/MID4
L001/MID2,L001/MID5
L001/MID2,L001/MID6
L001/MID3,L001/MID4
L001/MID3,L001/MID5
L001/MID3,L001/MID6
L001/MID4,L001/MID5
L001/MID4,L001/MID6
L001/MID5,L001/MID6
L002/MID1,L002/MID2
L002/MID1,L002/MID3
L002/MID2,L002/MID3
L003/MID1,L003/MID3
L003/MID1,L003/MID4
L003/MID1,L003/MID5
L003/MID2,L003/MID3
L003/MID2,L003/MID4
L003/MID2,L003/MID5
L003/MID3,L003/MID4
L003/MID3,L003/MID5
L003/MID4,L003/MID5
L004/MID1,L004/MID2
L005/MID1,L005/MID3
L005/MID1,L005/MID4
L005/MID1,L005/MID5
L005/MID1,L005/MID6
L005/MID1,L005/MID7
L005/MID2,L005/MID3
L005/MID2,L005/MID4
L005/MID2,L005/MID5
L005/MID2,L005/MID6
L005/MID2,L005/MID7
L005/MID3,L005/MID4
L005/MID3,L005/MID5
L005/MID3,L005/MID6
L005/MID3,L005/MID7
L005/MID4,L005/MID5
L005/MID4,L005/MID6
L005/MID4,L005/MID7
L005/MID5,L005/MID6
L005/MID5,L005/MID7
L005/MID6,L005/MID7
L006/MID1,L006/MID3
L006/MID1,L006/MID4
L006/MID1,L006/MID5
L006/MID1,L006/MID6
L006/MID1,L006/MID7
L006/MID1,L006/MID8
L006/MID2,L006/MID3
L006/MID2,L006/MID4
L006/MID2,L006/MID5
L006/MID2,L006/MID6
L006/MID2,L006/MID7
L006/MID2,L006/MID8
L901/MID1,L901/MID3
L901/MID1,L901/MID4
L901/MID1,L901/MID5
L901/MID2,L901/MID3
L901/MID2,L901/MID4
L901/MID2,L901/MID5
L902/MID1,L902/MID3
L902/MID1,L902/MID4
L902/MID1,L902/MID5
L902/MID1,L902/MID6
L902/MID1,L902/MID7
L902/MID2,L902/MID3
L902/MID2,L902/MID4
L902/MID2,L902/MID5
L902/MID2,L902/MID6
L902/MID2,L902/MID7
L903/MID1,L903/MID3
L903/MID1,L903/MID4
L903/MID2,L903/MID3
L903/MID2,L903/MID4
L904/MID1,L904/MID3
L904/MID1,L904/MID4
L904/MID1,L904/MID5
L904/MID1,L904/MID6
L904/MID2,L904/MID3
L904/MID2,L904/MID4
L904/MID2,L904/MID5
L904/MID2,L904/MID6
L905/MID1,L905/MID3
L905/MID1,L905/MID4
L905/MID1,L905/MID5
L905/MID2,L905/MID3
L905/MID2,L905/MID4
L905/MID2,L905/MID5
L906/MID1,L906/MID3
L906/MID2,L906/MID3
L907/MID1,L907/MID3
L907/MID1,L907/MID3
L907/MID2,L907/MID4
L907/MID2,L907/MID4
L908/MID1,L908/MID3
L908/MID2,L908/MID3
